Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-07 6:44:02,bmj,bmjopen,bmjopen-2021-059044,Typesetter Review,Editor,level-2,Correction marked in pdf. please fix bmjopen-2021-059044.pdf,"In the number list drop down, there is an option continued available to style the continued list",Document elements,List,Other,People,People Training,Ayyappan (TYPESETTER),1h 22m
2022-01-07 8:42:31,mbs,jmm,JMM-D-21-00301,Pre-editing,Editor,level-2,Please fix the DTD error.,Probe cleared,Document elements,References,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 35m
2022-01-07 4:24:01,elife,elife,67778,Typesetter Review,Editor,level-2,"Please amend this to read Equation A2 and check that it is linked to the right equation in this para ""....Equation 13 is of the Rescorla-Wagner form, in which f serves as a leaning rate.""",Equation id updated,Document elements,Equation,User unable to override the house style,Product,People Training,Ranjithkumar (TYPESETTER),8h 52m
2022-01-07 4:24:31,bjp,bjo,BJO-2021-0138,Typesetter Review,Editor,level-2,Kindly move this article to next stage. I have tried so many times continously showing the page page un responsive error image.png,moving back,Document elements,Author,Unable to add additional elements,People,Product New Requirement,Ranjithkumar (TYPESETTER),5h 19m
2022-01-07 4:58:36,elife,elife,74336,Pre-editing,Editor,level-2,Unable to add source data file or remove the block of Figure 8-figure supplement 1-source data 1 and Figure 8-figure supplement 1-source data 2 (Screenshot). Please delete or fix the upload file issue for this block.Image_11.PNG,Block removed,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),3h 58m
2022-01-07 7:30:06,bjp,bjr,BJR-2020-0507.R2,Typesetter Review,Editor,level-2,"Ref 6: Please add ""[Article in Norwegian]"" to the end of this reference, with no full stop at the end.Still this request not fixed",References 6 [Article in Norwegian] text added please check.,Document elements,References,Other,Product,Product bug,Pradheep (TYPESETTER),1h 4m
2022-01-07 4:36:06,bjp,bjr,BJR-2021-0467.R1,Typesetter Review,Editor,level-2,"ref 30: Please change the end of this reference to: ""2021; Epub ahead of print.""Already fixed by support team, when i edit the reference changes automatically removed. Fix permanently, dont fix temporarily customer will esclate this",ref updated,Document elements,References,Pattern not recognised,Product,People Training,Ranjithkumar (TYPESETTER),5h 50m
2022-01-07 4:52:32,elife,elife,72707,Pre-editing,Editor,level-2,1. Please fix DTD and probe error 2. Schematron is not showing for this article please fix,Export xml working please check,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),9h 15m
2022-01-07 6:47:53,elife,elife,69088,Pre-editing,Editor,level-2,"1. This is a CC0 licensed article (http://creativecommons.org/publicdomain/zero/1.0/), but there is a copyright-holder (Fujimori et al) which is not correct.2. If a license element has an xlink:href attribute, there must be a link in license-p that matches the link in the license/@xlink:href attribute. License link: http://creativecommons.org/publicdomain/zero/1.0/. Links in the license-p: http://creativecommons.org/publicdoman/zero/1.0/.3. If a license contains an ali:license_ref element, there must be a link in license-p that matches the link in the ali:license_ref element. ali:license_ref link: http://creativecommons.org/publicdomain/zero/1.0/. Links in the license-p: http://creativecommons.org/publicdoman/zero/1.0/. Please fix these erros.",CCO License updated,Probe Validation,Others,Other,Product,Product bug,Deepika (TYPESETTER),7h 43m
2022-01-07 3:49:05,elife,elife,67663,Typesetter Review,Editor,level-2,Please Fix this warning shows for equation Screenshot from 2022-01-07 09-17-14.png,Warings cleared,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),11h 7m
2022-01-07 4:50:02,elife,elife,72452,Typesetter Check,Editor,level-2,[pub-date-test-6] pub-date[@pub-type='collection'] year must be the same as pub-date[@publication-format='electronic'][@date-type='publication'] year.--please add 2022 in article info,Probe cleared,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),9h 39m
2022-01-07 6:21:39,spe,spepo,SPE-209576-PA,Typesetter Check,Editor,level-2,Please update year as 2022 in copyright statement.,"Copyright Year can be updated at your end, As of now i have updated, Please do follow",Probe Validation,Others,Other,Product,Product bug,Deepika (TYPESETTER),1h 34m
2022-01-07 6:11:27,bjp,bjo,BJO-2021-0051.R1,Final Deliverables,Editor,level-2,Please solve probe errorsCapture.JPG,Copyright Year updated,Probe Validation,Others,Other,Product,Product bug,Deepika (TYPESETTER),1h 46m
2022-01-07 9:10:37,mbs,mgen,MGEN-D-21-00307,Pre-editing,Editor,level-2,"1. Footnote designator ""†"" missing for deceased statement ""Deceased."" and the author ""Alicia Gibello"" in editor and pdf. Please fix.2. Please fix the DTD error.",Deceased and DTD updated,Probe Validation,Others,Other,Product,Product bug,Deepika (TYPESETTER),4h 11m
2022-01-07 7:57:21,elife,elife,74422,Pre-editing,Editor,level-2,"While approving, error showing as ""Float BLK_F1-SD2 is duplicated"". Please do fix this error.",Moved content page,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),7h 26m
2022-01-07 3:54:09,bmj,gutjnl,gutjnl-2021-324994,Typesetter Review,Editor,level-2,"Unable to sign off this article, page is becoming unresponsive. Please sign off this article at the earliest, it is overdue",reverting back to production.,Probe Validation,Others,House style incorrect,Product,Process Complication,Ranjithkumar (TYPESETTER),5h 25m
2022-01-07 4:19:35,elife,elife,72930,Typesetter Check,Editor,level-2,[pub-date-test-6] pub-date[@pub-type='collection'] year must be the same as pub-date[@publication-format='electronic'][@date-type='publication'] year.---please fix year in article info,"User can update the year 2022 from UI, As of now updated.",Probe Validation,Others,Other,Product,Product bug,Deepika (TYPESETTER),5h 43m
